feature,importance,importance_share,feature_type
pixel_r03_c10,12.0,0.0013333333333333333,pixel
pixel_r29_c19,12.0,0.0013333333333333333,pixel
pixel_r08_c15,12.0,0.0013333333333333333,pixel
pixel_r08_c11,12.0,0.0013333333333333333,pixel
pixel_r07_c15,12.0,0.0013333333333333333,pixel
pixel_r09_c14,12.0,0.0013333333333333333,pixel
pixel_r22_c21,12.0,0.0013333333333333333,pixel
pixel_r10_c07,12.0,0.0013333333333333333,pixel
pixel_r09_c11,12.0,0.0013333333333333333,pixel
pixel_r23_c10,12.0,0.0013333333333333333,pixel
pixel_r09_c31,12.0,0.0013333333333333333,pixel
pixel_r09_c23,12.0,0.0013333333333333333,pixel
pixel_r01_c15,11.0,0.0012222222222222222,pixel
pixel_r15_c24,11.0,0.0012222222222222222,pixel
pixel_r26_c20,11.0,0.0012222222222222222,pixel
pixel_r14_c21,11.0,0.0012222222222222222,pixel
pixel_r27_c21,11.0,0.0012222222222222222,pixel
pixel_r03_c22,11.0,0.0012222222222222222,pixel
pixel_r12_c29,11.0,0.0012222222222222222,pixel
pixel_r13_c16,11.0,0.0012222222222222222,pixel
pixel_r17_c16,11.0,0.0012222222222222222,pixel
pixel_r17_c02,11.0,0.0012222222222222222,pixel
pixel_r22_c13,11.0,0.0012222222222222222,pixel
pixel_r23_c17,11.0,0.0012222222222222222,pixel
pixel_r24_c08,11.0,0.0012222222222222222,pixel
pixel_r23_c05,11.0,0.0012222222222222222,pixel
pixel_r19_c20,11.0,0.0012222222222222222,pixel
pixel_r19_c22,11.0,0.0012222222222222222,pixel
pixel_r08_c09,11.0,0.0012222222222222222,pixel
pixel_r07_c18,11.0,0.0012222222222222222,pixel
pixel_r08_c00,11.0,0.0012222222222222222,pixel
pixel_r20_c11,11.0,0.0012222222222222222,pixel
pixel_r30_c16,11.0,0.0012222222222222222,pixel
pixel_r15_c18,10.0,0.0011111111111111111,pixel
pixel_r20_c03,10.0,0.0011111111111111111,pixel
pixel_r28_c09,10.0,0.0011111111111111111,pixel
pixel_r13_c26,10.0,0.0011111111111111111,pixel
pixel_r02_c15,10.0,0.0011111111111111111,pixel
pixel_r02_c06,10.0,0.0011111111111111111,pixel
pixel_r13_c02,10.0,0.0011111111111111111,pixel
pixel_r25_c22,10.0,0.0011111111111111111,pixel
pixel_r25_c24,10.0,0.0011111111111111111,pixel
pixel_r08_c10,10.0,0.0011111111111111111,pixel
pixel_r20_c19,10.0,0.0011111111111111111,pixel
pixel_r12_c25,10.0,0.0011111111111111111,pixel
pixel_r24_c20,10.0,0.0011111111111111111,pixel
pixel_r17_c25,10.0,0.0011111111111111111,pixel
pixel_r21_c14,10.0,0.0011111111111111111,pixel
pixel_r04_c22,10.0,0.0011111111111111111,pixel
pixel_r11_c12,10.0,0.0011111111111111111,pixel
pixel_r10_c15,10.0,0.0011111111111111111,pixel
pixel_r10_c09,10.0,0.0011111111111111111,pixel
pixel_r31_c23,10.0,0.0011111111111111111,pixel
pixel_r23_c07,10.0,0.0011111111111111111,pixel
pixel_r18_c15,10.0,0.0011111111111111111,pixel
pixel_r12_c21,10.0,0.0011111111111111111,pixel
pixel_r20_c30,10.0,0.0011111111111111111,pixel
pixel_r12_c08,10.0,0.0011111111111111111,pixel
pixel_r06_c25,10.0,0.0011111111111111111,pixel
pixel_r25_c15,9.0,0.001,pixel
pixel_r05_c07,9.0,0.001,pixel
pixel_r19_c02,9.0,0.001,pixel
pixel_r23_c16,9.0,0.001,pixel
pixel_r23_c24,9.0,0.001,pixel
pixel_r17_c23,9.0,0.001,pixel
pixel_r21_c08,9.0,0.001,pixel
pixel_r21_c06,9.0,0.001,pixel
pixel_r07_c14,9.0,0.001,pixel
pixel_r17_c10,9.0,0.001,pixel
pixel_r26_c19,9.0,0.001,pixel
pixel_r14_c22,9.0,0.001,pixel
pixel_r22_c10,9.0,0.001,pixel
pixel_r29_c13,9.0,0.001,pixel
pixel_r18_c26,9.0,0.001,pixel
pixel_r28_c21,9.0,0.001,pixel
pixel_r10_c31,9.0,0.001,pixel
pixel_r16_c18,9.0,0.001,pixel
pixel_r16_c22,9.0,0.001,pixel
pixel_r01_c25,9.0,0.001,pixel
pixel_r00_c24,9.0,0.001,pixel
pixel_r29_c17,9.0,0.001,pixel
pixel_r31_c25,9.0,0.001,pixel
pixel_r18_c24,9.0,0.001,pixel
pixel_r22_c19,9.0,0.001,pixel
pixel_r05_c13,9.0,0.001,pixel
pixel_r03_c13,9.0,0.001,pixel
pixel_r12_c03,9.0,0.001,pixel
pixel_r23_c01,9.0,0.001,pixel
pixel_r23_c04,9.0,0.001,pixel
pixel_r12_c07,9.0,0.001,pixel
pixel_r06_c21,9.0,0.001,pixel
pixel_r18_c10,9.0,0.001,pixel
pixel_r24_c01,9.0,0.001,pixel
pixel_r25_c18,8.0,0.0008888888888888889,pixel
pixel_r17_c20,8.0,0.0008888888888888889,pixel
pixel_r27_c10,8.0,0.0008888888888888889,pixel
pixel_r27_c08,8.0,0.0008888888888888889,pixel
pixel_r15_c11,8.0,0.0008888888888888889,pixel
pixel_r15_c10,8.0,0.0008888888888888889,pixel
pixel_r00_c10,8.0,0.0008888888888888889,pixel
pixel_r20_c12,8.0,0.0008888888888888889,pixel
pixel_r20_c10,8.0,0.0008888888888888889,pixel
pixel_r16_c23,8.0,0.0008888888888888889,pixel
pixel_r07_c13,8.0,0.0008888888888888889,pixel
pixel_r02_c16,8.0,0.0008888888888888889,pixel
pixel_r16_c26,8.0,0.0008888888888888889,pixel
pixel_r14_c05,8.0,0.0008888888888888889,pixel
pixel_r26_c22,8.0,0.0008888888888888889,pixel
pixel_r07_c25,8.0,0.0008888888888888889,pixel
pixel_r14_c14,8.0,0.0008888888888888889,pixel
pixel_r13_c25,8.0,0.0008888888888888889,pixel
pixel_r17_c24,8.0,0.0008888888888888889,pixel
pixel_r08_c22,8.0,0.0008888888888888889,pixel
pixel_r17_c21,8.0,0.0008888888888888889,pixel
pixel_r21_c07,8.0,0.0008888888888888889,pixel
pixel_r13_c12,8.0,0.0008888888888888889,pixel
pixel_r13_c05,8.0,0.0008888888888888889,pixel
pixel_r23_c21,8.0,0.0008888888888888889,pixel
pixel_r18_c12,8.0,0.0008888888888888889,pixel
pixel_r12_c13,8.0,0.0008888888888888889,pixel
pixel_r18_c06,8.0,0.0008888888888888889,pixel
pixel_r19_c09,8.0,0.0008888888888888889,pixel
pixel_r19_c11,8.0,0.0008888888888888889,pixel
pixel_r19_c05,8.0,0.0008888888888888889,pixel
pixel_r25_c05,8.0,0.0008888888888888889,pixel
pixel_r04_c07,8.0,0.0008888888888888889,pixel
pixel_r04_c09,8.0,0.0008888888888888889,pixel
pixel_r11_c29,8.0,0.0008888888888888889,pixel
pixel_r11_c26,8.0,0.0008888888888888889,pixel
pixel_r06_c15,8.0,0.0008888888888888889,pixel
pixel_r09_c04,8.0,0.0008888888888888889,pixel
pixel_r05_c10,8.0,0.0008888888888888889,pixel
pixel_r05_c09,8.0,0.0008888888888888889,pixel
pixel_r23_c13,8.0,0.0008888888888888889,pixel
pixel_r09_c19,8.0,0.0008888888888888889,pixel
pixel_r22_c09,8.0,0.0008888888888888889,pixel
pixel_r05_c22,8.0,0.0008888888888888889,pixel
pixel_r09_c21,8.0,0.0008888888888888889,pixel
pixel_r18_c22,8.0,0.0008888888888888889,pixel
pixel_r10_c14,8.0,0.0008888888888888889,pixel
pixel_r01_c08,8.0,0.0008888888888888889,pixel
pixel_r15_c31,8.0,0.0008888888888888889,pixel
pixel_r31_c26,8.0,0.0008888888888888889,pixel
pixel_r00_c26,7.0,0.0007777777777777777,pixel
pixel_r00_c19,7.0,0.0007777777777777777,pixel
pixel_r30_c08,7.0,0.0007777777777777777,pixel
pixel_r09_c12,7.0,0.0007777777777777777,pixel
pixel_r11_c23,7.0,0.0007777777777777777,pixel
pixel_r09_c20,7.0,0.0007777777777777777,pixel
pixel_r18_c29,7.0,0.0007777777777777777,pixel
pixel_r05_c25,7.0,0.0007777777777777777,pixel
pixel_r15_c23,7.0,0.0007777777777777777,pixel
pixel_r29_c10,7.0,0.0007777777777777777,pixel
pixel_r09_c25,7.0,0.0007777777777777777,pixel
pixel_r10_c24,7.0,0.0007777777777777777,pixel
pixel_r11_c15,7.0,0.0007777777777777777,pixel
